lambda nm,X,Y,Z
413.1,1.23E-01,1.22E-02,6.22E-01
413.2,1.24E-01,1.23E-02,6.28E-01
413.3,1.25E-01,1.24E-02,6.34E-01
413.4,1.26E-01,1.25E-02,6.40E-01
413.5,1.27E-01,1.26E-02,6.46E-01
413.6,1.28E-01,1.27E-02,6.52E-01
413.7,1.29E-01,1.29E-02,6.58E-01
413.8,1.31E-01,1.30E-02,6.64E-01
413.9,1.32E-01,1.31E-02,6.70E-01
414,1.33E-01,1.32E-02,6.76E-01
414.1,1.34E-01,1.33E-02,6.82E-01
414.2,1.35E-01,1.34E-02,6.88E-01
414.3,1.36E-01,1.35E-02,6.94E-01
414.4,1.38E-01,1.36E-02,7.01E-01
414.5,1.39E-01,1.37E-02,7.07E-01
414.6,1.40E-01,1.38E-02,7.13E-01
414.7,1.41E-01,1.40E-02,7.19E-01
414.8,1.42E-01,1.41E-02,7.25E-01
414.9,1.43E-01,1.42E-02,7.32E-01
415,1.45E-01,1.43E-02,7.38E-01
415.1,1.46E-01,1.44E-02,7.44E-01
415.2,1.47E-01,1.45E-02,7.50E-01
415.3,1.48E-01,1.46E-02,7.57E-01
415.4,1.49E-01,1.48E-02,7.63E-01
415.5,1.51E-01,1.49E-02,7.69E-01
415.6,1.52E-01,1.50E-02,7.76E-01
415.7,1.53E-01,1.51E-02,7.82E-01
415.8,1.54E-01,1.52E-02,7.89E-01
415.9,1.55E-01,1.53E-02,7.95E-01
416,1.57E-01,1.55E-02,8.01E-01
416.1,1.58E-01,1.56E-02,8.08E-01
416.2,1.59E-01,1.57E-02,8.14E-01
416.3,1.60E-01,1.58E-02,8.21E-01
416.4,1.62E-01,1.59E-02,8.27E-01
416.5,1.63E-01,1.60E-02,8.33E-01
416.6,1.64E-01,1.62E-02,8.40E-01
416.7,1.65E-01,1.63E-02,8.46E-01
416.8,1.66E-01,1.64E-02,8.53E-01
416.9,1.68E-01,1.65E-02,8.59E-01
417,1.69E-01,1.66E-02,8.66E-01
417.1,1.70E-01,1.68E-02,8.72E-01
417.2,1.71E-01,1.69E-02,8.78E-01
417.3,1.72E-01,1.70E-02,8.85E-01
417.4,1.74E-01,1.71E-02,8.91E-01
417.5,1.75E-01,1.72E-02,8.98E-01
417.6,1.76E-01,1.74E-02,9.04E-01
417.7,1.77E-01,1.75E-02,9.10E-01
417.8,1.78E-01,1.76E-02,9.17E-01
417.9,1.80E-01,1.77E-02,9.23E-01
418,1.81E-01,1.79E-02,9.30E-01
418.1,1.82E-01,1.80E-02,9.36E-01
418.2,1.83E-01,1.81E-02,9.42E-01
418.3,1.84E-01,1.82E-02,9.49E-01
418.4,1.86E-01,1.83E-02,9.55E-01
418.5,1.87E-01,1.85E-02,9.61E-01
418.6,1.88E-01,1.86E-02,9.67E-01
418.7,1.89E-01,1.87E-02,9.74E-01
418.8,1.90E-01,1.88E-02,9.80E-01
418.9,1.91E-01,1.89E-02,9.86E-01
419,1.93E-01,1.91E-02,9.92E-01
419.1,1.94E-01,1.92E-02,9.98E-01
419.2,1.95E-01,1.93E-02,1.00E+00
419.3,1.96E-01,1.94E-02,1.01E+00
419.4,1.97E-01,1.96E-02,1.02E+00
419.5,1.98E-01,1.97E-02,1.02E+00
419.6,1.99E-01,1.98E-02,1.03E+00
419.7,2.00E-01,1.99E-02,1.03E+00
419.8,2.01E-01,2.00E-02,1.04E+00
419.9,2.03E-01,2.02E-02,1.05E+00
420,2.04E-01,2.03E-02,1.05E+00
420.1,2.05E-01,2.04E-02,1.06E+00
420.2,2.06E-01,2.05E-02,1.06E+00
420.3,2.07E-01,2.06E-02,1.07E+00
420.4,2.08E-01,2.07E-02,1.07E+00
420.5,2.09E-01,2.09E-02,1.08E+00
420.6,2.10E-01,2.10E-02,1.09E+00
420.7,2.11E-01,2.11E-02,1.09E+00
420.8,2.12E-01,2.12E-02,1.10E+00
420.9,2.13E-01,2.13E-02,1.10E+00
421,2.14E-01,2.14E-02,1.11E+00
421.1,2.15E-01,2.16E-02,1.11E+00
421.2,2.16E-01,2.17E-02,1.12E+00
421.3,2.17E-01,2.18E-02,1.12E+00
421.4,2.18E-01,2.19E-02,1.13E+00
421.5,2.19E-01,2.20E-02,1.13E+00
421.6,2.19E-01,2.21E-02,1.14E+00
421.7,2.20E-01,2.23E-02,1.14E+00
421.8,2.21E-01,2.24E-02,1.15E+00
421.9,2.22E-01,2.25E-02,1.15E+00
422,2.23E-01,2.26E-02,1.16E+00
422.1,2.24E-01,2.27E-02,1.16E+00
422.2,2.25E-01,2.28E-02,1.17E+00
422.3,2.26E-01,2.29E-02,1.17E+00
422.4,2.27E-01,2.31E-02,1.18E+00
422.5,2.28E-01,2.32E-02,1.18E+00
422.6,2.28E-01,2.33E-02,1.19E+00
422.7,2.29E-01,2.34E-02,1.19E+00
422.8,2.30E-01,2.35E-02,1.20E+00
422.9,2.31E-01,2.36E-02,1.20E+00
423,2.32E-01,2.37E-02,1.21E+00
423.1,2.33E-01,2.39E-02,1.21E+00
423.2,2.34E-01,2.40E-02,1.22E+00
423.3,2.34E-01,2.41E-02,1.22E+00
423.4,2.35E-01,2.42E-02,1.23E+00
423.5,2.36E-01,2.43E-02,1.23E+00
423.6,2.37E-01,2.44E-02,1.24E+00
423.7,2.38E-01,2.46E-02,1.24E+00
423.8,2.39E-01,2.47E-02,1.25E+00
423.9,2.40E-01,2.48E-02,1.25E+00
424,2.40E-01,2.49E-02,1.26E+00
424.1,2.41E-01,2.50E-02,1.26E+00
424.2,2.42E-01,2.51E-02,1.27E+00
424.3,2.43E-01,2.53E-02,1.27E+00
424.4,2.44E-01,2.54E-02,1.28E+00
424.5,2.45E-01,2.55E-02,1.28E+00
424.6,2.45E-01,2.56E-02,1.29E+00
424.7,2.46E-01,2.58E-02,1.29E+00
424.8,2.47E-01,2.59E-02,1.30E+00
424.9,2.48E-01,2.60E-02,1.30E+00
