lambda nm,L,M
420.4,1.88E-02,2.23E-02
420.5,1.89E-02,2.24E-02
420.6,1.90E-02,2.26E-02
420.7,1.91E-02,2.27E-02
420.8,1.92E-02,2.29E-02
420.9,1.93E-02,2.30E-02
421,1.94E-02,2.32E-02
421.1,1.95E-02,2.33E-02
421.2,1.96E-02,2.35E-02
421.3,1.97E-02,2.36E-02
421.4,1.97E-02,2.38E-02
421.5,1.98E-02,2.39E-02
421.6,1.99E-02,2.41E-02
421.7,2.00E-02,2.43E-02
421.8,2.01E-02,2.44E-02
421.9,2.02E-02,2.46E-02
422,2.03E-02,2.47E-02
422.1,2.04E-02,2.49E-02
422.2,2.05E-02,2.50E-02
422.3,2.05E-02,2.52E-02
422.4,2.06E-02,2.53E-02
422.5,2.07E-02,2.55E-02
422.6,2.08E-02,2.56E-02
422.7,2.09E-02,2.58E-02
422.8,2.10E-02,2.60E-02
422.9,2.11E-02,2.61E-02
423,2.12E-02,2.63E-02
423.1,2.12E-02,2.64E-02
423.2,2.13E-02,2.66E-02
423.3,2.14E-02,2.68E-02
423.4,2.15E-02,2.69E-02
423.5,2.16E-02,2.71E-02
423.6,2.17E-02,2.72E-02
423.7,2.18E-02,2.74E-02
423.8,2.19E-02,2.76E-02
423.9,2.19E-02,2.77E-02
424,2.20E-02,2.79E-02
424.1,2.21E-02,2.81E-02
424.2,2.22E-02,2.82E-02
424.3,2.23E-02,2.84E-02
424.4,2.24E-02,2.86E-02
424.5,2.25E-02,2.87E-02
424.6,2.26E-02,2.89E-02
424.7,2.27E-02,2.91E-02
424.8,2.27E-02,2.92E-02
424.9,2.28E-02,2.94E-02
425,2.29E-02,2.96E-02
425.1,2.30E-02,2.97E-02
425.2,2.31E-02,2.99E-02
425.3,2.32E-02,3.01E-02
425.4,2.33E-02,3.03E-02
425.5,2.34E-02,3.04E-02
425.6,2.35E-02,3.06E-02
425.7,2.36E-02,3.08E-02
425.8,2.37E-02,3.10E-02
425.9,2.38E-02,3.12E-02
426,2.39E-02,3.13E-02
426.1,2.40E-02,3.15E-02
426.2,2.41E-02,3.17E-02
426.3,2.42E-02,3.19E-02
426.4,2.43E-02,3.21E-02
426.5,2.44E-02,3.23E-02
426.6,2.45E-02,3.25E-02
426.7,2.46E-02,3.26E-02
426.8,2.47E-02,3.28E-02
426.9,2.48E-02,3.30E-02
427,2.49E-02,3.32E-02
427.1,2.50E-02,3.34E-02
427.2,2.51E-02,3.36E-02
427.3,2.52E-02,3.38E-02
427.4,2.53E-02,3.40E-02
427.5,2.54E-02,3.42E-02
427.6,2.55E-02,3.44E-02
427.7,2.56E-02,3.46E-02
427.8,2.57E-02,3.48E-02
427.9,2.59E-02,3.50E-02
428,2.60E-02,3.52E-02
428.1,2.61E-02,3.54E-02
428.2,2.62E-02,3.56E-02
428.3,2.63E-02,3.58E-02
428.4,2.64E-02,3.60E-02
428.5,2.65E-02,3.62E-02
428.6,2.66E-02,3.64E-02
428.7,2.67E-02,3.66E-02
428.8,2.68E-02,3.68E-02
428.9,2.70E-02,3.71E-02
429,2.71E-02,3.73E-02
429.1,2.72E-02,3.75E-02
429.2,2.73E-02,3.77E-02
429.3,2.74E-02,3.79E-02
429.4,2.75E-02,3.81E-02
429.5,2.76E-02,3.83E-02
429.6,2.77E-02,3.86E-02
429.7,2.78E-02,3.88E-02
429.8,2.80E-02,3.90E-02
429.9,2.81E-02,3.92E-02
430,2.82E-02,3.95E-02
430.1,2.83E-02,3.97E-02
430.2,2.84E-02,3.99E-02
430.3,2.85E-02,4.01E-02
430.4,2.86E-02,4.04E-02
430.5,2.88E-02,4.06E-02
430.6,2.89E-02,4.08E-02
430.7,2.90E-02,4.11E-02
430.8,2.91E-02,4.13E-02
430.9,2.92E-02,4.15E-02
431,2.93E-02,4.18E-02
431.1,2.94E-02,4.20E-02
431.2,2.96E-02,4.22E-02
431.3,2.97E-02,4.25E-02
431.4,2.98E-02,4.27E-02
431.5,2.99E-02,4.29E-02
431.6,3.00E-02,4.32E-02
431.7,3.01E-02,4.34E-02
431.8,3.03E-02,4.37E-02
