lambda nm,L,M
625.3,4.75E-01,8.40E-02
625.4,4.74E-01,8.35E-02
625.5,4.72E-01,8.29E-02
625.6,4.71E-01,8.24E-02
625.7,4.69E-01,8.19E-02
625.8,4.67E-01,8.14E-02
625.9,4.66E-01,8.09E-02
626,4.64E-01,8.03E-02
626.1,4.63E-01,7.98E-02
626.2,4.61E-01,7.93E-02
626.3,4.60E-01,7.88E-02
626.4,4.58E-01,7.83E-02
626.5,4.56E-01,7.78E-02
626.6,4.55E-01,7.73E-02
626.7,4.53E-01,7.68E-02
626.8,4.52E-01,7.64E-02
626.9,4.50E-01,7.59E-02
627,4.48E-01,7.54E-02
627.1,4.47E-01,7.49E-02
627.2,4.45E-01,7.44E-02
627.3,4.44E-01,7.40E-02
627.4,4.42E-01,7.35E-02
627.5,4.40E-01,7.30E-02
627.6,4.39E-01,7.26E-02
627.7,4.37E-01,7.21E-02
627.8,4.36E-01,7.16E-02
627.9,4.34E-01,7.12E-02
628,4.32E-01,7.07E-02
628.1,4.31E-01,7.03E-02
628.2,4.29E-01,6.98E-02
628.3,4.28E-01,6.94E-02
628.4,4.26E-01,6.89E-02
628.5,4.24E-01,6.85E-02
628.6,4.23E-01,6.80E-02
628.7,4.21E-01,6.76E-02
628.8,4.20E-01,6.72E-02
628.9,4.18E-01,6.67E-02
629,4.16E-01,6.63E-02
629.1,4.15E-01,6.59E-02
629.2,4.13E-01,6.54E-02
629.3,4.12E-01,6.50E-02
629.4,4.10E-01,6.46E-02
629.5,4.09E-01,6.42E-02
629.6,4.07E-01,6.38E-02
629.7,4.05E-01,6.33E-02
629.8,4.04E-01,6.29E-02
629.9,4.02E-01,6.25E-02
630,4.01E-01,6.21E-02
630.1,3.99E-01,6.17E-02
630.2,3.98E-01,6.13E-02
630.3,3.96E-01,6.09E-02
630.4,3.95E-01,6.05E-02
630.5,3.93E-01,6.01E-02
630.6,3.91E-01,5.97E-02
630.7,3.90E-01,5.93E-02
630.8,3.88E-01,5.89E-02
630.9,3.87E-01,5.85E-02
631,3.85E-01,5.82E-02
631.1,3.84E-01,5.78E-02
631.2,3.82E-01,5.74E-02
631.3,3.81E-01,5.70E-02
631.4,3.79E-01,5.66E-02
631.5,3.78E-01,5.63E-02
631.6,3.76E-01,5.59E-02
631.7,3.75E-01,5.55E-02
631.8,3.73E-01,5.52E-02
631.9,3.72E-01,5.48E-02
632,3.70E-01,5.44E-02
632.1,3.69E-01,5.41E-02
632.2,3.67E-01,5.37E-02
632.3,3.66E-01,5.34E-02
632.4,3.64E-01,5.30E-02
632.5,3.63E-01,5.26E-02
632.6,3.62E-01,5.23E-02
632.7,3.60E-01,5.19E-02
632.8,3.59E-01,5.16E-02
632.9,3.57E-01,5.13E-02
633,3.56E-01,5.09E-02
633.1,3.54E-01,5.06E-02
633.2,3.53E-01,5.02E-02
633.3,3.51E-01,4.99E-02
633.4,3.50E-01,4.96E-02
633.5,3.49E-01,4.92E-02
633.6,3.47E-01,4.89E-02
633.7,3.46E-01,4.86E-02
633.8,3.44E-01,4.82E-02
633.9,3.43E-01,4.79E-02
634,3.42E-01,4.76E-02
634.1,3.40E-01,4.73E-02
634.2,3.39E-01,4.70E-02
634.3,3.37E-01,4.66E-02
634.4,3.36E-01,4.63E-02
634.5,3.35E-01,4.60E-02
634.6,3.33E-01,4.57E-02
634.7,3.32E-01,4.54E-02
634.8,3.31E-01,4.51E-02
634.9,3.29E-01,4.48E-02
635,3.28E-01,4.45E-02
635.1,3.27E-01,4.42E-02
635.2,3.25E-01,4.39E-02
635.3,3.24E-01,4.36E-02
635.4,3.22E-01,4.33E-02
635.5,3.21E-01,4.30E-02
635.6,3.20E-01,4.27E-02
635.7,3.18E-01,4.24E-02
635.8,3.17E-01,4.21E-02
635.9,3.16E-01,4.19E-02
636,3.15E-01,4.16E-02
636.1,3.13E-01,4.13E-02
636.2,3.12E-01,4.10E-02
636.3,3.11E-01,4.07E-02
636.4,3.09E-01,4.04E-02
636.5,3.08E-01,4.02E-02
636.6,3.07E-01,3.99E-02
636.7,3.05E-01,3.96E-02
636.8,3.04E-01,3.94E-02
636.9,3.03E-01,3.91E-02
637,3.02E-01,3.88E-02
637.1,3.00E-01,3.85E-02
637.2,2.99E-01,3.83E-02
637.3,2.98E-01,3.80E-02
637.4,2.97E-01,3.78E-02
637.5,2.95E-01,3.75E-02
637.6,2.94E-01,3.72E-02
637.7,2.93E-01,3.70E-02
637.8,2.92E-01,3.67E-02
637.9,2.90E-01,3.65E-02
638,2.89E-01,3.62E-02
638.1,2.88E-01,3.60E-02
638.2,2.87E-01,3.57E-02
638.3,2.86E-01,3.55E-02
638.4,2.84E-01,3.52E-02
638.5,2.83E-01,3.50E-02
638.6,2.82E-01,3.47E-02
638.7,2.81E-01,3.45E-02
638.8,2.80E-01,3.42E-02
638.9,2.78E-01,3.40E-02
639,2.77E-01,3.38E-02
639.1,2.76E-01,3.35E-02
639.2,2.75E-01,3.33E-02
639.3,2.74E-01,3.30E-02
639.4,2.73E-01,3.28E-02
639.5,2.71E-01,3.26E-02
639.6,2.70E-01,3.23E-02
639.7,2.69E-01,3.21E-02
639.8,2.68E-01,3.19E-02
639.9,2.67E-01,3.17E-02
640,2.66E-01,3.14E-02
640.1,2.65E-01,3.12E-02
640.2,2.64E-01,3.10E-02
640.3,2.62E-01,3.08E-02
640.4,2.61E-01,3.05E-02
640.5,2.60E-01,3.03E-02
640.6,2.59E-01,3.01E-02
640.7,2.58E-01,2.99E-02
640.8,2.57E-01,2.96E-02
640.9,2.56E-01,2.94E-02
641,2.55E-01,2.92E-02
641.1,2.54E-01,2.90E-02
641.2,2.53E-01,2.88E-02
641.3,2.52E-01,2.86E-02
641.4,2.50E-01,2.84E-02
641.5,2.49E-01,2.82E-02
641.6,2.48E-01,2.80E-02
641.7,2.47E-01,2.77E-02
641.8,2.46E-01,2.75E-02
641.9,2.45E-01,2.73E-02
642,2.44E-01,2.71E-02
642.1,2.43E-01,2.69E-02
642.2,2.42E-01,2.67E-02
642.3,2.41E-01,2.65E-02
642.4,2.40E-01,2.63E-02
642.5,2.39E-01,2.62E-02
642.6,2.38E-01,2.60E-02
642.7,2.37E-01,2.58E-02
642.8,2.36E-01,2.56E-02
642.9,2.35E-01,2.54E-02
643,2.34E-01,2.52E-02
643.1,2.33E-01,2.50E-02
643.2,2.32E-01,2.48E-02
643.3,2.31E-01,2.47E-02
643.4,2.30E-01,2.45E-02
643.5,2.28E-01,2.43E-02
643.6,2.27E-01,2.41E-02
643.7,2.26E-01,2.39E-02
643.8,2.25E-01,2.38E-02
643.9,2.24E-01,2.36E-02
644,2.23E-01,2.34E-02
644.1,2.22E-01,2.33E-02
644.2,2.21E-01,2.31E-02
644.3,2.20E-01,2.29E-02
644.4,2.19E-01,2.28E-02
644.5,2.18E-01,2.26E-02
644.6,2.17E-01,2.24E-02
644.7,2.16E-01,2.23E-02
644.8,2.15E-01,2.21E-02
644.9,2.14E-01,2.20E-02
645,2.13E-01,2.18E-02
645.1,2.12E-01,2.16E-02
645.2,2.11E-01,2.15E-02
645.3,2.10E-01,2.13E-02
645.4,2.09E-01,2.12E-02
645.5,2.08E-01,2.10E-02
645.6,2.07E-01,2.09E-02
645.7,2.06E-01,2.08E-02
645.8,2.05E-01,2.06E-02
645.9,2.04E-01,2.05E-02
646,2.03E-01,2.03E-02
646.1,2.02E-01,2.02E-02
646.2,2.01E-01,2.00E-02
646.3,2.00E-01,1.99E-02
646.4,1.99E-01,1.98E-02
646.5,1.98E-01,1.96E-02
646.6,1.97E-01,1.95E-02
646.7,1.96E-01,1.94E-02
646.8,1.95E-01,1.92E-02
646.9,1.94E-01,1.91E-02
647,1.93E-01,1.90E-02
647.1,1.92E-01,1.88E-02
647.2,1.91E-01,1.87E-02
647.3,1.90E-01,1.86E-02
647.4,1.89E-01,1.85E-02
647.5,1.89E-01,1.83E-02
647.6,1.88E-01,1.82E-02
647.7,1.87E-01,1.81E-02
647.8,1.86E-01,1.80E-02
647.9,1.85E-01,1.78E-02
648,1.84E-01,1.77E-02
648.1,1.83E-01,1.76E-02
648.2,1.82E-01,1.75E-02
648.3,1.81E-01,1.74E-02
648.4,1.80E-01,1.73E-02
648.5,1.79E-01,1.71E-02
648.6,1.78E-01,1.70E-02
648.7,1.77E-01,1.69E-02
648.8,1.76E-01,1.68E-02
648.9,1.75E-01,1.67E-02
649,1.74E-01,1.66E-02
649.1,1.73E-01,1.64E-02
649.2,1.72E-01,1.63E-02
649.3,1.71E-01,1.62E-02
649.4,1.71E-01,1.61E-02
649.5,1.70E-01,1.60E-02
649.6,1.69E-01,1.59E-02
649.7,1.68E-01,1.58E-02
649.8,1.67E-01,1.57E-02
649.9,1.66E-01,1.56E-02
650,1.65E-01,1.54E-02
650.1,1.64E-01,1.53E-02
650.2,1.63E-01,1.52E-02
650.3,1.62E-01,1.51E-02
650.4,1.62E-01,1.50E-02
650.5,1.61E-01,1.49E-02
650.6,1.60E-01,1.48E-02
650.7,1.59E-01,1.47E-02
650.8,1.58E-01,1.46E-02
650.9,1.57E-01,1.45E-02
651,1.56E-01,1.44E-02
651.1,1.55E-01,1.43E-02
651.2,1.55E-01,1.42E-02
651.3,1.54E-01,1.41E-02
651.4,1.53E-01,1.40E-02
651.5,1.52E-01,1.39E-02
651.6,1.51E-01,1.38E-02
651.7,1.50E-01,1.37E-02
651.8,1.50E-01,1.36E-02
651.9,1.49E-01,1.35E-02
652,1.48E-01,1.34E-02
652.1,1.47E-01,1.33E-02
652.2,1.46E-01,1.32E-02
652.3,1.45E-01,1.31E-02
652.4,1.45E-01,1.30E-02
652.5,1.44E-01,1.29E-02
652.6,1.43E-01,1.28E-02
652.7,1.42E-01,1.27E-02
652.8,1.41E-01,1.26E-02
652.9,1.41E-01,1.25E-02
653,1.40E-01,1.24E-02
653.1,1.39E-01,1.23E-02
653.2,1.38E-01,1.23E-02
653.3,1.37E-01,1.22E-02
653.4,1.37E-01,1.21E-02
653.5,1.36E-01,1.20E-02
653.6,1.35E-01,1.19E-02
653.7,1.34E-01,1.18E-02
653.8,1.34E-01,1.17E-02
653.9,1.33E-01,1.16E-02
654,1.32E-01,1.15E-02
654.1,1.31E-01,1.15E-02
654.2,1.31E-01,1.14E-02
654.3,1.30E-01,1.13E-02
654.4,1.29E-01,1.12E-02
654.5,1.28E-01,1.11E-02
654.6,1.28E-01,1.10E-02
654.7,1.27E-01,1.10E-02
654.8,1.26E-01,1.09E-02
654.9,1.25E-01,1.08E-02
655,1.25E-01,1.07E-02
655.1,1.24E-01,1.06E-02
655.2,1.23E-01,1.06E-02
655.3,1.23E-01,1.05E-02
655.4,1.22E-01,1.04E-02
655.5,1.21E-01,1.03E-02
655.6,1.21E-01,1.02E-02
655.7,1.20E-01,1.02E-02
655.8,1.19E-01,1.01E-02
655.9,1.18E-01,1.00E-02
656,1.18E-01,9.93E-03
656.1,1.17E-01,9.85E-03
656.2,1.16E-01,9.78E-03
656.3,1.16E-01,9.71E-03
656.4,1.15E-01,9.63E-03
656.5,1.14E-01,9.56E-03
656.6,1.14E-01,9.49E-03
656.7,1.13E-01,9.41E-03
656.8,1.12E-01,9.34E-03
656.9,1.12E-01,9.27E-03
657,1.11E-01,9.20E-03
657.1,1.10E-01,9.13E-03
657.2,1.10E-01,9.06E-03
657.3,1.09E-01,8.99E-03
657.4,1.09E-01,8.92E-03
657.5,1.08E-01,8.85E-03
657.6,1.07E-01,8.79E-03
657.7,1.07E-01,8.72E-03
657.8,1.06E-01,8.65E-03
657.9,1.05E-01,8.59E-03
658,1.05E-01,8.52E-03
658.1,1.04E-01,8.46E-03
658.2,1.04E-01,8.39E-03
658.3,1.03E-01,8.33E-03
658.4,1.02E-01,8.26E-03
658.5,1.02E-01,8.20E-03
658.6,1.01E-01,8.14E-03
658.7,1.01E-01,8.07E-03
658.8,9.99E-02,8.01E-03
658.9,9.93E-02,7.95E-03
659,9.87E-02,7.89E-03
659.1,9.81E-02,7.83E-03
659.2,9.76E-02,7.77E-03
659.3,9.70E-02,7.71E-03
659.4,9.64E-02,7.65E-03
659.5,9.58E-02,7.59E-03
659.6,9.53E-02,7.53E-03
659.7,9.47E-02,7.47E-03
659.8,9.41E-02,7.42E-03
659.9,9.36E-02,7.36E-03
660,9.30E-02,7.30E-03
660.1,9.25E-02,7.25E-03
660.2,9.19E-02,7.19E-03
660.3,9.13E-02,7.13E-03
660.4,9.08E-02,7.08E-03
660.5,9.03E-02,7.03E-03
660.6,8.97E-02,6.97E-03
660.7,8.92E-02,6.92E-03
660.8,8.86E-02,6.86E-03
660.9,8.81E-02,6.81E-03
661,8.76E-02,6.76E-03
661.1,8.70E-02,6.71E-03
661.2,8.65E-02,6.65E-03
661.3,8.60E-02,6.60E-03
661.4,8.55E-02,6.55E-03
661.5,8.50E-02,6.50E-03
661.6,8.45E-02,6.45E-03
661.7,8.39E-02,6.40E-03
661.8,8.34E-02,6.35E-03
661.9,8.29E-02,6.30E-03
662,8.24E-02,6.25E-03
662.1,8.19E-02,6.21E-03
662.2,8.14E-02,6.16E-03
662.3,8.09E-02,6.11E-03
662.4,8.04E-02,6.06E-03
662.5,7.99E-02,6.02E-03
662.6,7.95E-02,5.97E-03
662.7,7.90E-02,5.93E-03
662.8,7.85E-02,5.88E-03
662.9,7.80E-02,5.84E-03
663,7.75E-02,5.79E-03
663.1,7.71E-02,5.75E-03
663.2,7.66E-02,5.70E-03
663.3,7.61E-02,5.66E-03
663.4,7.56E-02,5.62E-03
663.5,7.52E-02,5.57E-03
663.6,7.47E-02,5.53E-03
663.7,7.43E-02,5.49E-03
663.8,7.38E-02,5.45E-03
663.9,7.34E-02,5.40E-03
664,7.29E-02,5.36E-03
664.1,7.24E-02,5.32E-03
664.2,7.20E-02,5.28E-03
664.3,7.16E-02,5.24E-03
664.4,7.11E-02,5.20E-03
664.5,7.07E-02,5.16E-03
664.6,7.02E-02,5.12E-03
664.7,6.98E-02,5.09E-03
664.8,6.94E-02,5.05E-03
664.9,6.89E-02,5.01E-03
665,6.85E-02,4.97E-03
665.1,6.81E-02,4.93E-03
665.2,6.77E-02,4.90E-03
665.3,6.72E-02,4.86E-03
665.4,6.68E-02,4.82E-03
665.5,6.64E-02,4.79E-03
665.6,6.60E-02,4.75E-03
665.7,6.56E-02,4.72E-03
665.8,6.52E-02,4.68E-03
665.9,6.48E-02,4.65E-03
666,6.44E-02,4.61E-03
666.1,6.40E-02,4.58E-03
666.2,6.36E-02,4.54E-03
666.3,6.32E-02,4.51E-03
666.4,6.28E-02,4.48E-03
666.5,6.24E-02,4.44E-03
666.6,6.20E-02,4.41E-03
666.7,6.16E-02,4.38E-03
666.8,6.12E-02,4.35E-03
666.9,6.08E-02,4.32E-03
667,6.04E-02,4.28E-03
667.1,6.00E-02,4.25E-03
667.2,5.97E-02,4.22E-03
667.3,5.93E-02,4.19E-03
667.4,5.89E-02,4.16E-03
667.5,5.85E-02,4.13E-03
667.6,5.82E-02,4.10E-03
667.7,5.78E-02,4.07E-03
667.8,5.74E-02,4.04E-03
667.9,5.71E-02,4.01E-03
668,5.67E-02,3.98E-03
668.1,5.63E-02,3.95E-03
668.2,5.60E-02,3.92E-03
668.3,5.56E-02,3.89E-03
668.4,5.53E-02,3.86E-03
668.5,5.49E-02,3.84E-03
668.6,5.46E-02,3.81E-03
668.7,5.42E-02,3.78E-03
668.8,5.39E-02,3.75E-03
668.9,5.35E-02,3.73E-03
669,5.32E-02,3.70E-03
669.1,5.28E-02,3.67E-03
669.2,5.25E-02,3.64E-03
669.3,5.22E-02,3.62E-03
669.4,5.18E-02,3.59E-03
669.5,5.15E-02,3.56E-03
669.6,5.12E-02,3.54E-03
669.7,5.08E-02,3.51E-03
669.8,5.05E-02,3.49E-03
669.9,5.02E-02,3.46E-03
670,4.99E-02,3.44E-03
670.1,4.95E-02,3.41E-03
670.2,4.92E-02,3.39E-03
670.3,4.89E-02,3.36E-03
670.4,4.86E-02,3.34E-03
670.5,4.83E-02,3.31E-03
670.6,4.80E-02,3.29E-03
670.7,4.76E-02,3.26E-03
670.8,4.73E-02,3.24E-03
670.9,4.70E-02,3.22E-03
671,4.67E-02,3.19E-03
671.1,4.64E-02,3.17E-03
671.2,4.61E-02,3.15E-03
671.3,4.58E-02,3.12E-03
671.4,4.55E-02,3.10E-03
671.5,4.52E-02,3.08E-03
671.6,4.49E-02,3.06E-03
671.7,4.46E-02,3.03E-03
671.8,4.43E-02,3.01E-03
671.9,4.40E-02,2.99E-03
672,4.38E-02,2.97E-03
672.1,4.35E-02,2.94E-03
672.2,4.32E-02,2.92E-03
672.3,4.29E-02,2.90E-03
672.4,4.26E-02,2.88E-03
672.5,4.23E-02,2.86E-03
672.6,4.21E-02,2.84E-03
672.7,4.18E-02,2.82E-03
672.8,4.15E-02,2.80E-03
672.9,4.12E-02,2.78E-03
673,4.10E-02,2.76E-03
673.1,4.07E-02,2.74E-03
673.2,4.04E-02,2.72E-03
673.3,4.02E-02,2.70E-03
673.4,3.99E-02,2.68E-03
673.5,3.96E-02,2.66E-03
673.6,3.94E-02,2.64E-03
673.7,3.91E-02,2.62E-03
673.8,3.88E-02,2.60E-03
673.9,3.86E-02,2.58E-03
674,3.83E-02,2.56E-03
674.1,3.81E-02,2.54E-03
674.2,3.78E-02,2.52E-03
674.3,3.76E-02,2.50E-03
674.4,3.73E-02,2.48E-03
674.5,3.71E-02,2.47E-03
674.6,3.68E-02,2.45E-03
674.7,3.66E-02,2.43E-03
674.8,3.63E-02,2.41E-03
674.9,3.61E-02,2.39E-03
675,3.58E-02,2.38E-03
675.1,3.56E-02,2.36E-03
675.2,3.53E-02,2.34E-03
675.3,3.51E-02,2.32E-03
675.4,3.49E-02,2.31E-03
675.5,3.46E-02,2.29E-03
675.6,3.44E-02,2.27E-03
675.7,3.42E-02,2.26E-03
675.8,3.39E-02,2.24E-03
675.9,3.37E-02,2.22E-03
676,3.35E-02,2.21E-03
676.1,3.32E-02,2.19E-03
676.2,3.30E-02,2.17E-03
676.3,3.28E-02,2.16E-03
676.4,3.26E-02,2.14E-03
676.5,3.23E-02,2.13E-03
676.6,3.21E-02,2.11E-03
676.7,3.19E-02,2.09E-03
676.8,3.17E-02,2.08E-03
676.9,3.15E-02,2.06E-03
677,3.13E-02,2.05E-03
677.1,3.10E-02,2.03E-03
677.2,3.08E-02,2.02E-03
677.3,3.06E-02,2.00E-03
677.4,3.04E-02,1.99E-03
677.5,3.02E-02,1.97E-03
677.6,3.00E-02,1.96E-03
677.7,2.98E-02,1.94E-03
677.8,2.96E-02,1.93E-03
677.9,2.94E-02,1.92E-03
678,2.92E-02,1.90E-03
678.1,2.90E-02,1.89E-03
678.2,2.88E-02,1.87E-03
678.3,2.86E-02,1.86E-03
678.4,2.84E-02,1.85E-03
678.5,2.82E-02,1.83E-03
678.6,2.80E-02,1.82E-03
678.7,2.78E-02,1.80E-03
678.8,2.76E-02,1.79E-03
678.9,2.74E-02,1.78E-03
679,2.72E-02,1.76E-03
679.1,2.70E-02,1.75E-03
679.2,2.68E-02,1.74E-03
679.3,2.67E-02,1.73E-03
679.4,2.65E-02,1.71E-03
679.5,2.63E-02,1.70E-03
679.6,2.61E-02,1.69E-03
679.7,2.59E-02,1.67E-03
679.8,2.57E-02,1.66E-03
679.9,2.56E-02,1.65E-03
680,2.54E-02,1.64E-03
680.1,2.52E-02,1.63E-03
680.2,2.50E-02,1.61E-03
680.3,2.49E-02,1.60E-03
680.4,2.47E-02,1.59E-03
680.5,2.45E-02,1.58E-03
680.6,2.43E-02,1.57E-03
680.7,2.42E-02,1.55E-03
680.8,2.40E-02,1.54E-03
680.9,2.38E-02,1.53E-03
681,2.37E-02,1.52E-03
681.1,2.35E-02,1.51E-03
681.2,2.33E-02,1.50E-03
681.3,2.32E-02,1.49E-03
681.4,2.30E-02,1.47E-03
681.5,2.28E-02,1.46E-03
681.6,2.27E-02,1.45E-03
681.7,2.25E-02,1.44E-03
681.8,2.23E-02,1.43E-03
681.9,2.22E-02,1.42E-03
682,2.20E-02,1.41E-03
682.1,2.19E-02,1.40E-03
682.2,2.17E-02,1.39E-03
682.3,2.16E-02,1.38E-03
682.4,2.14E-02,1.37E-03
682.5,2.13E-02,1.36E-03
682.6,2.11E-02,1.35E-03
682.7,2.10E-02,1.34E-03
682.8,2.08E-02,1.33E-03
682.9,2.07E-02,1.32E-03
683,2.05E-02,1.31E-03
683.1,2.04E-02,1.30E-03
683.2,2.02E-02,1.29E-03
683.3,2.01E-02,1.28E-03
683.4,1.99E-02,1.27E-03
683.5,1.98E-02,1.26E-03
683.6,1.96E-02,1.25E-03
683.7,1.95E-02,1.24E-03
683.8,1.94E-02,1.23E-03
683.9,1.92E-02,1.22E-03
684,1.91E-02,1.21E-03
684.1,1.89E-02,1.20E-03
684.2,1.88E-02,1.19E-03
684.3,1.87E-02,1.18E-03
684.4,1.85E-02,1.17E-03
684.5,1.84E-02,1.17E-03
684.6,1.83E-02,1.16E-03
684.7,1.81E-02,1.15E-03
684.8,1.80E-02,1.14E-03
684.9,1.79E-02,1.13E-03
685,1.77E-02,1.12E-03
685.1,1.76E-02,1.11E-03
685.2,1.75E-02,1.10E-03
685.3,1.73E-02,1.10E-03
685.4,1.72E-02,1.09E-03
685.5,1.71E-02,1.08E-03
685.6,1.69E-02,1.07E-03
685.7,1.68E-02,1.06E-03
685.8,1.67E-02,1.05E-03
685.9,1.66E-02,1.05E-03
686,1.64E-02,1.04E-03
686.1,1.63E-02,1.03E-03
686.2,1.62E-02,1.02E-03
686.3,1.61E-02,1.01E-03
686.4,1.60E-02,1.01E-03
686.5,1.58E-02,9.98E-04
686.6,1.57E-02,9.90E-04
686.7,1.56E-02,9.83E-04
686.8,1.55E-02,9.75E-04
686.9,1.54E-02,9.67E-04
687,1.53E-02,9.60E-04
687.1,1.51E-02,9.52E-04
687.2,1.50E-02,9.45E-04
687.3,1.49E-02,9.38E-04
687.4,1.48E-02,9.30E-04
687.5,1.47E-02,9.23E-04
687.6,1.46E-02,9.16E-04
687.7,1.45E-02,9.09E-04
687.8,1.44E-02,9.02E-04
687.9,1.42E-02,8.95E-04
688,1.41E-02,8.88E-04
688.1,1.40E-02,8.81E-04
688.2,1.39E-02,8.74E-04
688.3,1.38E-02,8.67E-04
688.4,1.37E-02,8.61E-04
688.5,1.36E-02,8.54E-04
688.6,1.35E-02,8.48E-04
688.7,1.34E-02,8.41E-04
688.8,1.33E-02,8.35E-04
688.9,1.32E-02,8.28E-04
689,1.31E-02,8.22E-04
689.1,1.30E-02,8.15E-04
689.2,1.29E-02,8.09E-04
689.3,1.28E-02,8.03E-04
689.4,1.27E-02,7.97E-04
689.5,1.26E-02,7.91E-04
689.6,1.25E-02,7.85E-04
689.7,1.24E-02,7.79E-04
689.8,1.24E-02,7.73E-04
689.9,1.23E-02,7.67E-04
690,1.22E-02,7.61E-04
690.1,1.21E-02,7.55E-04
690.2,1.20E-02,7.50E-04
690.3,1.19E-02,7.44E-04
690.4,1.18E-02,7.38E-04
690.5,1.17E-02,7.33E-04
690.6,1.16E-02,7.27E-04
690.7,1.16E-02,7.22E-04
690.8,1.15E-02,7.16E-04
690.9,1.14E-02,7.11E-04
691,1.13E-02,7.06E-04
691.1,1.12E-02,7.00E-04
691.2,1.11E-02,6.95E-04
691.3,1.11E-02,6.90E-04
691.4,1.10E-02,6.85E-04
691.5,1.09E-02,6.80E-04
691.6,1.08E-02,6.75E-04
691.7,1.07E-02,6.70E-04
691.8,1.07E-02,6.65E-04
691.9,1.06E-02,6.60E-04
692,1.05E-02,6.55E-04
692.1,1.04E-02,6.50E-04
692.2,1.04E-02,6.45E-04
692.3,1.03E-02,6.40E-04
692.4,1.02E-02,6.36E-04
692.5,1.01E-02,6.31E-04
692.6,1.01E-02,6.26E-04
692.7,9.99E-03,6.22E-04
692.8,9.92E-03,6.17E-04
692.9,9.85E-03,6.13E-04
693,9.78E-03,6.08E-04
693.1,9.71E-03,6.04E-04
693.2,9.64E-03,5.99E-04
693.3,9.57E-03,5.95E-04
693.4,9.50E-03,5.91E-04
693.5,9.44E-03,5.86E-04
693.6,9.37E-03,5.82E-04
693.7,9.30E-03,5.78E-04
693.8,9.23E-03,5.74E-04
693.9,9.17E-03,5.69E-04
694,9.10E-03,5.65E-04
694.1,9.04E-03,5.61E-04
694.2,8.97E-03,5.57E-04
694.3,8.91E-03,5.53E-04
694.4,8.85E-03,5.49E-04
694.5,8.78E-03,5.45E-04
694.6,8.72E-03,5.41E-04
694.7,8.66E-03,5.37E-04
694.8,8.59E-03,5.33E-04
694.9,8.53E-03,5.29E-04
695,8.47E-03,5.25E-04
695.1,8.41E-03,5.22E-04
695.2,8.35E-03,5.18E-04
695.3,8.29E-03,5.14E-04
695.4,8.23E-03,5.10E-04
695.5,8.17E-03,5.07E-04
695.6,8.11E-03,5.03E-04
695.7,8.05E-03,4.99E-04
695.8,8.00E-03,4.96E-04
695.9,7.94E-03,4.92E-04
696,7.88E-03,4.89E-04
696.1,7.83E-03,4.85E-04
696.2,7.77E-03,4.81E-04
696.3,7.71E-03,4.78E-04
696.4,7.66E-03,4.75E-04
696.5,7.60E-03,4.71E-04
696.6,7.55E-03,4.68E-04
696.7,7.49E-03,4.64E-04
696.8,7.44E-03,4.61E-04
696.9,7.39E-03,4.58E-04
697,7.33E-03,4.54E-04
697.1,7.28E-03,4.51E-04
697.2,7.23E-03,4.48E-04
697.3,7.17E-03,4.44E-04
697.4,7.12E-03,4.41E-04
697.5,7.07E-03,4.38E-04
697.6,7.02E-03,4.35E-04
697.7,6.97E-03,4.32E-04
697.8,6.92E-03,4.29E-04
697.9,6.87E-03,4.26E-04
698,6.82E-03,4.22E-04
698.1,6.77E-03,4.19E-04
698.2,6.72E-03,4.16E-04
698.3,6.67E-03,4.13E-04
698.4,6.62E-03,4.10E-04
698.5,6.58E-03,4.07E-04
698.6,6.53E-03,4.04E-04
698.7,6.48E-03,4.01E-04
698.8,6.43E-03,3.99E-04
698.9,6.39E-03,3.96E-04
699,6.34E-03,3.93E-04
699.1,6.30E-03,3.90E-04
699.2,6.25E-03,3.87E-04
699.3,6.21E-03,3.84E-04
699.4,6.16E-03,3.82E-04
699.5,6.12E-03,3.79E-04
699.6,6.07E-03,3.76E-04
699.7,6.03E-03,3.73E-04
699.8,5.98E-03,3.71E-04
699.9,5.94E-03,3.68E-04
700,5.90E-03,3.65E-04
700.1,5.85E-03,3.63E-04
700.2,5.81E-03,3.60E-04
700.3,5.77E-03,3.57E-04
700.4,5.73E-03,3.55E-04
700.5,5.69E-03,3.52E-04
700.6,5.65E-03,3.50E-04
700.7,5.61E-03,3.47E-04
700.8,5.56E-03,3.45E-04
700.9,5.52E-03,3.42E-04
701,5.48E-03,3.40E-04
701.1,5.44E-03,3.37E-04
701.2,5.41E-03,3.35E-04
701.3,5.37E-03,3.32E-04
701.4,5.33E-03,3.30E-04
701.5,5.29E-03,3.28E-04
701.6,5.25E-03,3.25E-04
701.7,5.21E-03,3.23E-04
701.8,5.17E-03,3.20E-04
701.9,5.14E-03,3.18E-04
702,5.10E-03,3.16E-04
702.1,5.06E-03,3.14E-04
702.2,5.03E-03,3.11E-04
702.3,4.99E-03,3.09E-04
702.4,4.95E-03,3.07E-04
702.5,4.92E-03,3.05E-04
702.6,4.88E-03,3.02E-04
702.7,4.85E-03,3.00E-04
702.8,4.81E-03,2.98E-04
702.9,4.78E-03,2.96E-04
703,4.74E-03,2.94E-04
703.1,4.71E-03,2.91E-04
703.2,4.67E-03,2.89E-04
703.3,4.64E-03,2.87E-04
703.4,4.60E-03,2.85E-04
703.5,4.57E-03,2.83E-04
703.6,4.54E-03,2.81E-04
703.7,4.50E-03,2.79E-04
